#group,false,false,false,true,true,true,true,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double
#default,mean,,,,,,,
,result,table,_time,_start,_stop,_field,pairAddress,_value
,,0,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x003938901cb3861e390ce0d3a42e75f1a91001ac,43.27272727272727
,,1,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x00423018f0434edaa17349b5e58418da0d9f607d,23.467391304347824
,,2,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x00cdac8643ecb21572bc9f53cb59b2194426b2db,25.9375
,,3,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x00e7580476a3411ee3d4bde078106de6cce1fcd1,55.333333333333336
,,4,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x00f56fec62cbb1dcf6cc87e81ec62649f569ba02,9
,,5,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x010a09b353ed496bda8a70e51e38487f975e4053,5.397058823529412
,,6,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x014741c5c7ed30cfdbb32ed85356c9f3345d4223,45.81481481481482
,,7,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x018f8dd364502bafaa4f80e5650f12cba79d3c65,15.25
,,8,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x019d7c70af8631b7e16d3262f9112be1fb4b3e86,22.45
,,9,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x01b9e47b07e434da9ff139d1fc9983d80ab44af9,16.085714285714285
,,10,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x01c18ae65a7ce07b20e2cacabee412e5dd1987b7,28.035714285714285
,,11,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x01d808d201c786f3af7c80528a3a79a7325b2a4b,73.35227272727273
,,12,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0208f194ba264763e7284fcbf3f02258ce7d29c2,36.53846153846154
,,13,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0244908cd983999c97cbf7d945d4401bc8ac57bb,7.528301886792453
,,14,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x02874bf9504052c5f88ffd99c5a759cdb3f4ad06,20.23076923076923
,,15,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x02b6d62ffe2f45241ac64677577f474b01ebecc2,31.333333333333332
,,16,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x02b73e858b315b32ac1eb66ffdad265713c1b5de,55.36363636363637
,,17,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x02c738b9598df90000996b24d3f6571acfb2dc55,30.766233766233768
,,18,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x02c7a54b20877e291463545a2635e4d3a9469b67,14.178571428571429
,,19,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x030d4f27df50e354602569dc647cf476e34351f2,134.01
,,20,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x03468ff7d6fa50e73f633a3f342bc08c8d11c46c,33.333333333333336
,,21,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x03508ee221cf65de4dba1a8105bfdf24f255a15e,57.81818181818182
,,22,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04210c46af140780b39dc3380ee31204d7b80ce6,84.7
,,23,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0422818e26d1864e8b6bd6186d3ccac61164ee3e,41
,,24,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0428945e274fbd75ce034cc99a9571768f1d4f28,16.87878787878788
,,25,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04404e6ea4b3cf4c1abd42f9d82d725613392b89,31.789473684210527
,,26,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0455feea71a0cfd0785a41710dc4473b48bf505e,19.041666666666668
,,27,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0469d38a8bbe02ed19fc0bfa58d1cf28c86ec798,50.9
,,28,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04749d74a30dc08df0a845b524b7bf5f20ca1a1e,12.94
,,29,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04cf684036cc8030c64735594b8f5c566c3f74b1,58.62
,,30,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04d540b6dbb7b6077b4efa2b4045164057c19bb2,31.68
,,31,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x04f01db076c85ea9a27c84c83e13b166fe9db95c,178.64
,,32,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x05076905e222e3200733c278edce9df8acae2eed,26.8
,,33,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x05160bc81560d933540a9e2f7021b64f2c192141,38.1
,,34,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x055286b6a4bca555406c36be441b92a85c877852,34.666666666666664
,,35,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x056412054bc0495647d29e523f5c3fd40dd99a17,17.782608695652176
,,36,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0584f82424ee45ec70cc0289bfaac4ad6fb0f65d,28.85
